prefixed_root,prefixes,unprefixed_root,hom
upanizkram,upa-nis,kram,
upanihan,upa-ni,han,1
upanI,upa,nI,2
upanI,upa-ni,i,5
upanft,upa,nft,1
upanyas,upa-ni,as,2
upanyAcar,upa-ni-A,car,
upanyAplu,upa-ni-A,plu,
upapat,upa,pat,1
upapad,upa,pad,1
upaparIkz,upa-pari,Ikz,
upapare,upa-parA,i,5
upaparyAvft,upa-pari-A,vft,1
upapfc,upa,pfc,1
upapF,upa,pF,
upapragA,upapra,gA,1
upapraC,upa,praC,
upaprajan,upapra,jan,
upaprajinv,upapra,jinv,
upapratigrah,upa-prati,grah,
upapradA,upapra,dA,1
upapraBid,upapra,Bid,1
upapraBU,upapra,BU,1
upapraBUz,upapra,BUz,
upaprayam,upapra,yam,
upaprayA,upapra,yA,1
upapravad,upapra,vad,
upapravft,upapra,vft,1
upapravfh,upapra,vfh,1
upapraSri,upapra,Sri,1
upaprasad,upapra,sad,2
upaprasf,upapra,sf,
upaprastf,upapra,stf,1
upaprahi,upapra,hi,1
upaprAp,upapra-A,Ap,1
upaprAyA,upapra-A,yA,1
upapre,upapra-A,i,5
upaprekz,upapra,Ikz,
upaprez,upapra-A,iz,1
upaplu,upa,plu,
upabanD,upa,banD,
upabfh,upa,bfh,1
upabrU,upa,brU,
upaBaj,upa,Baj,
upaBuj,upa,Buj,1
upaBU,upa,BU,1
upaBUz,upa,BUz,
upaBf,upa,Bf,1
upaBram,upa,Bram,
upamajj,upa,majj,
upamaT,upa,maT,1
upamad,upa,mad,2
upamantr,upa,mantr,
upamA,upa,mA,2
upami,upa,mi,1
upamuc,upa,muc,1
upamfj,upa,mfj,1
upamfd,upa,mfd,1
upamluc,upa,mluc,
upayaj,upa,yaj,1
upayat,upa,yat,2
upayantr,upa,yantr,
upayam,upa,yam,
upayA,upa,yA,1
upayuj,upa,yuj,1
uparac,upa,rac,
uparaYj,upa,raYj,
uparaD,upa,raD,
uparam,upa,ram,
uparamB,upa,ramB,
uparuc,upa,ruc,1
uparuD,upa,ruD,2
uparuh,upa,ruh,1
upalakz,upa,lakz,
upalaB,upa,laB,
upalip,upa,lip,
upalI,upa,lI,1
upavac,upa,vac,
upavad,upa,vad,
upavap,upa,vap,2
upavarR,upa,varR,
upavalh,upa,valh,
upavas,upa,vas,5
upavah,upa,vah,1
upavA,upa,vA,2
upaviD,upa,viD,1
upaviS,upa,viS,
upaviz,upa,viz,1
upavizWA,upa-vi,sTA,1
upavI,upa,vI,1
upavIkz,upa-vi,Ikz,
upavIj,upa,vIj,
upavft,upa,vft,1
upave,upa,ve,1
upavE,upa,vE,1
upavyaD,upa,vyaD,
upavye,upa,vye,
upavraj,upa,vraj,
upaSak,upa,Sak,
upaSaNk,upa,SaNk,
upaSam,upa,Sam,1
upaSiNG,upa,SiNG,
upaSI,upa,SI,1
upaSuB,upa,SuB,1
upaSuz,upa,Suz,1
upaSram,upa,Sram,1
upaSri,upa,Sri,1
upaSru,upa,Sru,1
upaSliz,upa,Sliz,1
upasaMkxp,upa-sam,kxp,
upasaMkram,upa-sam,kram,
upasaMgam,upa-sam,gam,1
upasaMgrah,upa-sam,grah,
upasaMcar,upa-sam,car,
upasaMjan,upa-sam,jan,
upasaMtan,upa-sam,tan,1
upasaMDA,upa-sam,DA,1
upasaMnud,upa-sam,nud,
upasaMpad,upa-sam,pad,1
upasaMpraC,upa-sam,praC,
upasaMprayA,upa-sam-pra,yA,1
upasaMprAp,upa-sam-prA,Ap,1
upasaMBid,upa-sam,Bid,1
upasaMyA,upa-sam,yA,1
upasaMruD,upa-sam,ruD,2
upasaMruh,upa-sam,ruh,1
upasaMviS,upa-sam,viS,
upasaMvye,upa-sam,vye,
upasaMvraj,upa-sam,vraj,
upasaMSaMs,upa-sam,SaMs,
upasaMSri,upa-sam,Sri,1
upasaMhf,upa-sam,hf,1
upasac,upa,sac,1
upasaYj,upa,saYj,1
upasad,upa,sad,2
upasamAkf,upa-sam-A,kf,1
upasamADA,upa-sam-A,DA,1
upasamAvft,upa-sam-A,vft,1
upasamAhf,upa-sam-A,hf,1
upasami,upa-sam,i,5
upasaminD,upa-sam,inD,
upasamUh,upa-sam,Uh,1
upasame,upa-sam-A,i,5
upasAD,upa,sAD,1
upasic,upa,sic,1
upasiD,upa,siD,2
upasf,upa,sf,
upasfj,upa,sfj,1
upasfp,upa,sfp,
upasev,upa,sev,
upaskamB,upa,skamB,
upastamB,upa,stamB,
upastu,upa,stu,1
upastf,upa,stf,1
upasTA,upa,sTA,1
upasnih,upa,snih,1
upaspfS,upa,spfS,1
upasmi,upa,smi,
upasmf,upa,smf,2
upasru,upa,sru,
upasvf,upa,svf,
upahan,upa,han,1
upahas,upa,has,1
upahA,upa,hA,2
upahArIkf,upahArI,kf,1
upahiMs,upa,hiMs,1
upahu,upa,hu,1
upahf,upa,hf,1
upahvf,upa,hvf,
upahve,upa,hve,
upAkf,upa-A,kf,1
upAkram,upa-A,kram,
upAKyA,upa-A,KyA,
upAgam,upa-A,gam,1
upAgA,upa-A,gA,1
upAGrA,upa-A,GrA,
upAcar,upa-A,car,
upAj,upa-A,aj,
upAYc,upa-A,aYc,1
upAYj,upa-A,aYj,
upAtI,upa-ati,i,5
upAdA,upa-A,dA,1
upAdiS,upa-A,diS,1
upAdru,upa-A,dru,1
upADA,upa-A,DA,1
upADAv,upa-A,DAv,1
upADiruh,upa-aDi,ruh,1
upADmA,upa-A,DmA,
upAnI,upa-A,nI,2
upAnvAruh,upa-anu-A,ruh,1
upAp,upa-A,Ap,1
upApat,upa-A,pat,1
upApraC,upa-A,praC,
upABUz,upa-A,BUz,
upAyA,upa-A,yA,1
upAyuj,upa-A,yuj,1
upAram,upa-A,ram,
upArud,upa-A,rud,1
upAruh,upa-A,ruh,1
upArj,upa-A,arj,
upArz,upa,fz,1
upAlaB,upa-A,laB,
upAv,upa-A,av,
upAvaram,upa-ava,ram,
upAvaruh,upa-ava,ruh,1
upAvaSri,upa-ava,Sri,1
upAvasfj,upa-ava,sfj,1
upAvasfp,upa-ava,sfp,
upAvaso,upa-ava,so,1
upAvah,upa-A,vah,1
upAvahf,upa-ava,hf,1
upAviS,upa-A,viS,
upAvft,upa-A,vft,1
upAve,upa-ava-A,i,5
upAvekz,upa-ava,Ikz,
upAvraj,upa-A,vraj,
upASri,upa-A,Sri,1
upAs,upa-A,as,1
upAs,upa-A,as,1
upAs,upa-A,As,2
upAsad,upa-A,sad,2
upAsfj,upa-A,sfj,1
upAstf,upa-A,stf,1
upAsTA,upa-A,sTA,1
upAhan,upa-A,han,1
upAhf,upa-A,hf,1
upAhve,upa-A,hve,
upe,upa-A,i,5
upe,upa-A,i,5
upekz,upa,Ikz,
upez,upa-A,iz,1
upez,upa,Iz,1
upez,upa,Iz,1
upED,upa,eD,
upokz,upa-A,ukz,1
upotkram,upa-ud,kram,
upotTA,upa-ud,sTA,1
upotsad,upa-ud,sad,2
upotsic,upa-ud,sic,1
upod,upa,ud,2
upodAsfp,upa-ud-A,sfp,
upodAhf,upa-ud-A,hf,1
upodi,upa-ud,i,5
upodgrah,upa-ud,grah,
upodDan,upa-ud,han,1
upodyam,upa-ud,yam,
uponnI,upa-ud,nI,2
upopaDA,upa-upa,DA,1
upopaparAmfS,upa-upa-parA,mfS,1
upopaviS,upa-upa,viS,
upoz,upa-A,uz,1
upoh,upa-A,Uh,1
ullaNG,ud,laNG,
ullap,ud,lap,1
ullamb,ud,lamb,1
ullal,ud,lal,
ullas,ud,las,1
ulliK,ud,liK,
ullih,ud,lih,1
ullI,ud,lI,1
ulluYc,ud,luYc,
ulluW,ud,luW,1
ullup,ud,lup,1
ullU,ud,lU,1
UrDvIkf,UrDvI,kf,1
e,A,i,5
ekz,A,Ikz,
enD,A,inD,
er,A,Ir,
ez,A,Iz,1
o,A,u,4
okz,A,ukz,1
opadru,A-upa,dru,1
grAsapAtrIkf,grAsapAtrI,kf,1
tiroDA,tiras,DA,1
niHkzi,nis,kzi,1
niHSI,nis,SI,1
niHSuc,nis,Suc,1
niHSF,nis,SF,
niHSvas,nis,Svas,1
niHzWiv,nis,zWiv,
niHsf,nis,sf,
niHsfj,nis,sfj,1
niHsfp,nis,sfp,
niHspf,nis,spf,1
niHsPur,nis,sPur,1
niHsru,nis,sru,
niHsvf,nis,svf,
nikam,ni,kam,2
nikUj,ni,kUj,
nikUq,ni,kUq,1
nikUR,ni,kUR,
nikf,ni,kf,1
nikft,ni,kft,2
nikfz,ni,kfz,1
nikrand,ni,krand,
nikram,ni,kram,
nikzip,ni,kzip,1
niKan,ni,Kan,
niKid,ni,Kid,
nigad,ni,gad,
nigam,ni,gam,1
nigarh,ni,garh,
niguh,ni,guh,1
nigF,ni,gF,2
nigE,ni,gE,
nigranT,ni,granT,1
nigrah,ni,grah,
niGfz,ni,Gfz,2
nici,ni,ci,2
nicft,ni,cft,
nijUrv,ni,jUrv,
nitan,ni,tan,1
nitap,ni,tap,1
nitud,ni,tud,1
nituS,ni,tuS,1
nitfd,ni,tfd,
nitfp,ni,tfp,1
nidah,ni,dah,1
nidA,ni,dA,4
nidiS,ni,diS,1
nidrA,ni,drA,2
niDA,ni,DA,1
niDAv,ni,DAv,2
niDU,ni,DU,1
niDyE,ni,DyE,
ninad,ni,nad,
ninard,ni,nard,
ninI,ni,nI,2
ninft,ni,nft,1
nipat,ni,pat,1
nipad,ni,pad,1
nipA,ni,pA,1
nipA,ni,pA,1
nipIy,ni,pIy,
nipF,ni,pF,
niprahan,ni-pra,han,1
nibanD,ni,banD,
nibAD,ni,bAD,
nibuD,ni,buD,
nibfh,ni,bfh,1
niBaYj,ni,BaYj,1
niBal,ni,Bal,
niBuj,ni,Buj,1
nimajj,ni,majj,
nimad,ni,mad,2
niman,ni,man,
nimantr,ni,mantr,
nimA,ni,mA,2
nimi,ni,mi,1
nimiz,ni,miz,1
nimih,ni,mih,1
nimIl,ni,mIl,
nimfj,ni,mfj,1
nimfd,ni,mfd,1
nime,ni,me,1
nimyakz,ni,myakz,
nimruc,ni,mruc,
nimluc,ni,mluc,
niyat,ni,yat,2
niyantr,ni,yantr,
niyam,ni,yam,
niyA,ni,yA,1
niyu,ni,yu,2
niyuj,ni,yuj,1
niyuD,ni,yuD,1
niram,ni,ram,
nirI,ni,rI,1
niruD,ni,ruD,1
nirUp,ni,rUp,
nirgam,nis,gam,1
nirGfz,nis,Gfz,2
nirji,nis,ji,1
nirdaMS,nis,daMS,1
nirdah,nis,dah,1
nirdiS,nis,diS,1
nirduh,nis,duh,1
nirdru,nis,dru,1
nirDam,nis,Dam,
nirDA,nis,DA,1
nirDAv,nis,DAv,1
nirDU,nis,DU,1
nirbanD,nis,banD,
nirbAD,nis,bAD,
nirbrU,nis,brU,
nirBaj,nis,Baj,
nirBaYj,nis,BaYj,1
nirBarts,nis,Barts,
nirBA,nis,BA,1
nirBid,nis,Bid,1
nirBuj,nis,Buj,1
nirmajj,nis,majj,
nirmaT,nis,maT,1
nirmanT,nis,manT,1
nirmA,nis,mA,2
nirmi,nis,mi,1
nirmuc,nis,muc,1
nirmfj,nis,mfj,1
niryA,nis,yA,1
niryAc,nis,yAc,
niryu,nis,yu,1
nirliK,nis,liK,
nirlih,nis,lih,1
nirlup,nis,lup,1
nirvaYc,nis,vaYc,
nirvad,nis,vad,
nirvap,nis,vap,1
nirvam,nis,vam,
nirvarR,nis,varR,
nirvas,nis,vas,5
nirvah,nis,vah,1
nirvA,nis,vA,2
nirvid,nis,vid,3
nirvivah,nis-vi,vah,1
nirviS,nis,viS,
nirvf,nis,vf,2
nirvft,nis,vft,1
nirvE,nis,vE,1
nirvyaD,nis,vyaD,
nirvraj,nis,vraj,
nirvlI,nis,vlI,
nirhan,nis,han,1
nirhA,nis,hA,2
nirhf,nis,hf,1
nirhras,nis,hras,
nirhve,nis,hve,
nilip,ni,lip,
nilI,ni,lI,1
nivad,ni,vad,
nivap,ni,vap,2
nivas,ni,vas,4
nivas,ni,vas,5
nivah,ni,vah,1
niviS,ni,viS,
nivfj,ni,vfj,1
nivft,ni,vft,1
nivyaD,ni,vyaD,
nivraSc,ni,vraSc,
niSam,ni,Sam,1
niSAs,ni,SAs,1
niSi,ni,Si,1
niSuc,ni,Suc,1
niSuB,ni,SuB,1
niSumB,ni,SumB,2
niSo,ni,So,
niScar,nis,car,
niSci,nis,ci,2
niScut,ni,Scut,1
niSri,ni,Sri,1
niSvas,ni,Svas,1
nizac,ni,sac,1
nizaYj,ni,saYj,1
nizad,ni,sad,2
nizah,ni,sah,1
nizic,ni,sic,1
niziD,ni,siD,1
niziv,ni,siv,
nizUd,ni,sUd,1
nizev,ni,sev,
nizo,ni,so,1
nizkuz,nis,kuz,
nizkf,nis,kf,1
nizkft,nis,kft,2
nizkfz,nis,kfz,1
nizkram,nis,kram,
nizkrI,nis,krI,1
nizKan,nis,Kan,
nizKid,nis,Kid,
nizwap,nis,tap,1
nizwu,ni,stu,1
nizwyE,ni,styE,
nizWA,ni,sTA,1
nizWiv,ni,zWiv,
nizpat,nis,pat,1
nizpad,nis,pad,1
nizpA,nis,pA,1
nizpA,nis,pA,3
nizpiS,nis,piS,1
nizpiz,nis,piz,
nizpIq,nis,pIq,
nizpU,nis,pU,1
nizpf,nis,pf,1
nizvaYj,ni,svaYj,
nistakz,nis,takz,1
nistud,nis,tud,1
nistF,nis,tF,
nispfS,ni,spfS,1
nisyand,ni,syand,
nisru,ni,sru,
nisvan,ni,svan,1
nihan,ni,han,1
nihA,ni,hA,2
nihf,ni,hf,1
nihfz,ni,hfz,
nihnu,ni,hnu,
nihve,ni,hve,
nIrAj,nis,rAj,1
nIrI,nis,rI,1
nIruc,nis,ruc,1
nyaYc,ni,aYc,1
nyaYj,ni,aYj,
nyavacar,ni-ava,car,
nyavasfj,ni-ava,sfj,1
nyavekz,ni-ava,Ikz,
nyas,ni,as,1
nyADf,ni-A,Df,
nyAvyaD,ni-A,vyaD,
nyAsad,ni-A,sad,2
nyuc,ni,uc,
nyud,ni,ud,2
nyubj,ni,ubj,
nyuB,ni,uB,
nyuz,ni,uz,1
nyUh,ni,Uh,1
nyUh,ni,Uh,1
nyf,ni,f,4
nyfYj,ni,fYj,1
nyfz,ni,fz,1
nye,ni-A,i,5
nyej,ni,ej,
parAkf,parA,kf,1
parAkram,parA,kram,
parAkzip,parA,kzip,1
parAgam,parA,gam,1
parAcar,parA,car,
parAji,parA,ji,1
parAdA,parA,dA,1
parAdru,parA,dru,1
parADAv,parA,DAv,1
parADmA,parA,DmA,
parApat,parA,pat,1
parApaS,parA,paS,3
parApU,parA,pU,1
parABU,parA,BU,1
parAmfS,parA,mfS,1
parAyA,parA,yA,1
parAvac,parA,vac,
parAvad,parA,vad,
parAvap,parA,vap,2
parAvam,parA,vam,
parAvalg,parA,valg,
parAvah,parA,vah,1
parAvA,parA,vA,2
parAvfj,parA,vfj,1
parAvft,parA,vft,1
parAvyaD,parA,vyaD,
parASF,parA,SF,
parAs,parA,as,1
parAsic,parA,sic,1
parAsU,parA,sU,1
parAsf,parA,sf,
parAsfj,parA,sfj,1
parAstamB,parA,stamB,
parAhan,parA,han,1
parAhA,parA,hA,2
parikaT,pari,kaT,
parikal,pari,kal,2
parikal,pari,kal,1
parikIrt,pari,kIrt,
parikup,pari,kup,1
parikf,pari,kf,1
parikft,pari,kft,2
parikft,pari,kft,3
parikfz,pari,kfz,1
parikF,pari,kF,1
parikram,pari,kram,
parikrI,pari,krI,1
parikrIq,pari,krIq,
parikruD,pari,kruD,1
parikruS,pari,kruS,
pariklam,pari,klam,
parikliS,pari,kliS,
parikvaT,pari,kvaT,
parikzar,pari,kzar,
parikzal,pari,kzal,2
parikzi,pari,kzi,4
parikzi,pari,kzi,2
parikzip,pari,kzip,1
pariKid,pari,Kid,
pariKyA,pari,KyA,
parigaR,pari,gaR,
parigam,pari,gam,1
parigarj,pari,garj,
parigarh,pari,garh,
parigA,pari,gA,1
parigE,pari,gE,
parigras,pari,gras,1
parigrah,pari,grah,
pariGaw,pari,Gaw,
pariGaww,pari,Gaww,
pariGUrR,pari,GUrR,
pariGfz,pari,Gfz,2
pariGrA,pari,GrA,
paricakz,pari,cakz,
paricar,pari,car,
parici,pari,ci,1
parici,pari,ci,2
paricint,pari,cint,
paricumb,pari,cumb,2
paricft,pari,cft,
paricCad,pari,Cad,1
paricCid,pari,Cid,
parijalp,pari,jalp,
pariji,pari,ji,1
parijfmB,pari,jfmB,
parijF,pari,jF,1
parijYA,pari,jYA,1
parijval,pari,jval,
pariRiDA,pari-ni,DA,1
pariRihan,pari-ni,han,1
paritaq,pari,taq,
paritan,pari,tan,1
paritap,pari,tap,1
paritam,pari,tam,
paritark,pari,tark,
paritud,pari,tud,1
parituz,pari,tuz,
paritfd,pari,tfd,
parityaj,pari,tyaj,1
paritrE,pari,trE,
paridah,pari,dah,1
paridA,pari,dA,1
paridiv,pari,div,1
paridIp,pari,dIp,
paridu,pari,du,2
paridF,pari,dF,
paridru,pari,dru,1
pariDA,pari,DA,1
pariDAv,pari,DAv,1
pariDU,pari,DU,1
pariDf,pari,Df,
pariDfz,pari,Dfz,
pariniHstan,pari-nis,stan,
parinind,pari,nind,
parinirluW,pari-nis,luW,2
parinirvA,pari-nis,vA,2
parinivft,pari-ni,vft,1
parinizad,pari-ni,sad,2
parinizic,pari-ni,sic,1
parinizev,pari-ni,sev,
parinizWA,pari-ni,sTA,1
parinizpad,pari-nis,pad,1
parinft,pari,nft,1
paripac,pari,pac,1
paripaW,pari,paW,
paripat,pari,pat,1
paripaS,pari,paS,3
paripA,pari,pA,1
paripA,pari,pA,3
paripIq,pari,pIq,
paripU,pari,pU,1
paripUj,pari,pUj,
paripragrah,pari-pra,grah,
paripraC,pari,praC,
paripraT,pari,praT,1
paripramuc,pari-pra,muc,1
pariprasyand,pari-pra,syand,
pariprAp,pari-prA,Ap,1
pariprez,pari-prA,iz,1
pariplu,pari,plu,
paribanD,pari,banD,
paribAD,pari,bAD,
paribfMh,pari,bfMh,2
paribrU,pari,brU,
pariBakz,pari,Bakz,
pariBarts,pari,Barts,
pariBAz,pari,BAz,1
pariBAs,pari,BAs,1
pariBuj,pari,Buj,1
pariBuj,pari,Buj,3
pariBU,pari,BU,1
pariBUz,pari,BUz,
pariBf,pari,Bf,1
pariBraMS,pari,BraMS,
pariBram,pari,Bram,
parimA,pari,mA,2
parimArg,pari,mArg,
parimi,pari,mi,1
parimuc,pari,muc,1
parimuz,pari,muz,1
parimuh,pari,muh,1
parimf,pari,mf,
parimfg,pari,mfg,
parimfj,pari,mfj,1
parimfd,pari,mfd,1
parimfS,pari,mfS,1
parimfz,pari,mfz,1
parimokz,pari,mokz,
parimlE,pari,mlE,
pariyaj,pari,yaj,1
pariyat,pari,yat,2
pariyam,pari,yam,
pariyA,pari,yA,1
parirakz,pari,rakz,1
pariraB,pari,raB,
pariram,pari,ram,
parirAj,pari,rAj,1
paririh,pari,rih,
pariruc,pari,ruc,1
pariruj,pari,ruj,1
parilaNG,pari,laNG,
parilaB,pari,laB,
parilamb,pari,lamb,1
parilaz,pari,laz,
pariliK,pari,liK,
parilip,pari,lip,
parilih,pari,lih,1
pariluW,pari,luW,2
parilup,pari,lup,1
pariluB,pari,luB,
parilok,pari,lok,
parivaYc,pari,vaYc,
parivad,pari,vad,
parivand,pari,vand,
parivap,pari,vap,1
parivap,pari,vap,2
parivas,pari,vas,4
parivas,pari,vas,5
parivas,pari,vas,3
parivah,pari,vah,1
parivAS,pari,vAS,
parivicar,pari-vi,car,
parivid,pari,vid,3
pariviDAv,pari-vi,DAv,1
pariviS,pari,viS,
pariviz,pari,viz,1
parivIj,pari,vIj,
parivf,pari,vf,1
parivf,pari,vf,2
parivfj,pari,vfj,1
parivft,pari,vft,1
parivfD,pari,vfD,
parivfz,pari,vfz,
parive,pari,ve,1
parivyaD,pari,vyaD,
parivye,pari,vye,
parivraj,pari,vraj,
parivraSc,pari,vraSc,
pariSaNk,pari,SaNk,
pariSap,pari,Sap,3
pariSiz,pari,Siz,1
pariSI,pari,SI,1
pariSIl,pari,SIl,1
pariSuc,pari,Suc,1
pariSuD,pari,SuD,
pariSuB,pari,SuB,1
pariSuz,pari,Suz,1
pariSri,pari,Sri,1
pariSru,pari,Sru,1
parizaYj,pari,saYj,1
parizad,pari,sad,2
parizah,pari,sah,1
parizic,pari,sic,1
pariziD,pari,siD,1
pariziv,pari,siv,
parizU,pari,sU,1
parizev,pari,sev,
parizo,pari,so,1
parizkand,pari,skand,
parizkf,pariz,kf,1
parizwamB,pari,stamB,
parizwu,pari,stu,1
parizwuB,pari,stuB,1
parizWA,pari,sTA,1
parizvaj,pari,svaj,
parizvan,pari,svan,1
parisaMkrIq,pari-sam,krIq,
parisaMkzip,pari-sam,kzip,1
parisaMKyA,pari-sam,KyA,
parisaMlih,pari-sam,lih,1
parisaMvad,pari-sam,vad,
parisaMspfS,pari-sam,spfS,1
parisamUh,pari-sam,Uh,1
parisame,pari-sam-A,i,5
parisf,pari,sf,
parisfp,pari,sfp,
parisKal,pari,sKal,
paristf,pari,stf,1
parispand,pari,spand,
parispfS,pari,spfS,1
parisPuw,pari,sPuw,
parisPur,pari,sPur,1
parisru,pari,sru,
parihan,pari,han,1
parihas,pari,has,1
parihA,pari,hA,3
parihi,pari,hi,1
parihiRq,pari,hiRq,
parihf,pari,hf,1
parI,pari,i,5
parIkz,pari,Ikz,
parIS,pari,IS,1
parIz,pari,iz,1
pare,parA,i,5
parekz,parA,Ikz,
paryaNK,pari,aNK,
paryaYc,pari,aYc,1
paryaw,pari,aw,
paryan,pari,an,2
paryanviz,pari-anu,iz,3
paryavakF,pari-ava,kF,1
paryavacCid,pari-ava,Cid,
paryavado,pari-ava,do,
paryavanud,pari-ava,nud,
paryavasfp,pari-ava,sfp,
paryavaso,pari-ava,so,1
paryavasTA,pari-ava,sTA,1
paryavAp,pari-ava-A,Ap,1
paryave,pari-ava-A,i,5
paryavekz,pari-ava,Ikz,
paryas,pari,as,1
paryas,pari,as,2
paryAkzip,pari-A,kzip,1
paryAgam,pari-A,gam,1
paryAgal,pari-A,gal,1
paryAcar,pari-A,car,
paryAtan,pari-A,tan,1
paryAdA,pari-A,dA,1
paryAdru,pari-A,dru,1
paryADA,pari-A,DA,1
paryAp,pari,Ap,1
paryApat,pari-A,pat,1
paryABf,pari-A,Bf,1
paryAmuc,pari-A,muc,1
paryAmfS,pari-A,mfS,1
paryAruh,pari-A,ruh,1
paryAvap,pari-A,vap,2
paryAvft,pari-A,vft,1
paryASvas,pari-A,Svas,1
paryAs,pari,As,2
paryAhf,pari-A,hf,1
paryAhve,pari-A,hve,
paryukz,pari,ukz,1
paryutTA,pari-ud,sTA,1
paryutsfj,pari-ud,sfj,1
paryudas,pari-ud,as,2
paryupalip,pari-upa,lip,
paryupaviS,pari-upa,viS,
paryupasTA,pari-upa,sTA,1
paryupahve,pari-upa,hve,
paryupAs,pari-upa-A,As,2
paryUrRu,pari,UrRu,
paryUh,pari,Uh,1
paryfz,pari,fz,1
paryfz,pari,fz,2
parye,pari-A,i,5
palyaNg,pari,aNg,
piDA,api,DA,1
pinah,api,nah,1
pinI,api,nI,2
puraskf,puras,kf,1
puroDA,puras,DA,1
prakaT,pra,kaT,
prakamp,pra,kamp,
prakal,pra,kal,2
prakANkz,pra,kANkz,
prakAS,pra,kAS,
prakASIkf,prakASI,kf,1
prakIrt,pra,kIrt,
prakup,pra,kup,1
prakUj,pra,kUj,
prakUrd,pra,kUrd,
prakf,pra,kf,1
prakft,pra,kft,2
prakfz,pra,kfz,1
prakF,pra,kF,1
prakxp,pra,kxp,
prakram,pra,kram,
prakrIq,pra,krIq,
prakruS,pra,kruS,
praklid,pra,klid,
prakvaR,pra,kvaR,
prakzar,pra,kzar,
prakzal,pra,kzal,2
prakzi,pra,kzi,1
prakzip,pra,kzip,1
prakzud,pra,kzud,1
prakzuB,pra,kzuB,1
prakzE,pra,kzE,
prakzRu,pra,kzRu,
praKAd,pra,KAd,
praKud,pra,Kud,
praKyA,pra,KyA,
pragaR,pra,gaR,
pragam,pra,gam,1
pragarj,pra,garj,
pragalB,pra,galB,
pragA,pra,gA,1
pragAh,pra,gAh,
pragF,pra,gF,1
pragE,pra,gE,
pragraT,pra,graT,1
pragras,pra,gras,1
pragrah,pra,grah,
praglE,pra,glE,
praGaw,pra,Gaw,
praGAtaya,pra,GAtaya,
praGf,pra,Gf,1
praGfz,pra,Gfz,2
pracakz,pra,cakz,
pracat,pra,cat,
pracar,pra,car,
pracal,pra,cal,
praci,pra,ci,1
pracit,pra,cit,4
pracint,pra,cint,
pracud,pra,cud,
pracUrR,pra,cUrR,
pracft,pra,cft,
pracCad,pra,Cad,1
pracCid,pra,Cid,
pracCfd,pra,Cfd,
pracCo,pra,Co,
pracyu,pra,cyu,1
prajan,pra,jan,
prajap,pra,jap,
prajalp,pra,jalp,
prajAgf,pra,jAgf,
praji,pra,ji,1
prajinv,pra,jinv,
prajU,pra,jU,1
prajfmB,pra,jfmB,
prajF,pra,jF,1
prajYA,pra,jYA,1
prajval,pra,jval,
praRigad,pra-ni,gad,
praRijYA,pra-ni,jYA,1
praRiDA,pra-ni,DA,1
praRipat,pra-ni,pat,1
praRihan,pra-ni,han,1
pratakz,pra,takz,1
prataq,pra,taq,
pratan,pra,tan,1
pratap,pra,tap,1
pratam,pra,tam,
pratark,pra,tark,
pratikANkz,prati,kANkz,
pratikUj,prati,kUj,
pratikf,prati,kf,1
pratikF,prati,kF,1
pratikxp,prati,kxp,
pratikram,prati,kram,
pratikruD,prati,kruD,1
pratikzip,prati,kzip,1
pratiKyA,prati,KyA,
pratigad,prati,gad,
pratigam,prati,gam,1
pratigarj,prati,garj,
pratigAh,prati,gAh,
pratigfD,prati,gfD,
pratigF,prati,gF,1
pratigrah,prati,grah,
praticakz,prati,cakz,
praticar,prati,car,
praticint,prati,cint,
praticCad,prati,Cad,1
praticCid,prati,Cid,
pratijan,prati,jan,
pratijap,prati,jap,
pratijalp,prati,jalp,
pratijAgf,prati,jAgf,
pratiji,prati,ji,1
pratijuz,prati,juz,1
pratijf,prati,jf,1
pratijYA,prati,jYA,1
pratijval,prati,jval,
pratitaq,prati,taq,
pratitap,prati,tap,1
pratidah,prati,dah,1
pratidA,prati,dA,1
pratidiv,prati,div,2
pratiduh,prati,duh,1
pratiDA,prati,DA,1
pratiDAv,prati,DAv,1
pratiDf,prati,Df,
pratinad,prati,nad,
pratinand,prati,nand,
pratinard,prati,nard,
pratiniHsfj,prati-nis,sfj,1
pratinikzip,prati-ni,kzip,1
pratinigad,prati-ni,gad,
pratinigrah,prati-ni,grah,
pratiniDA,prati-ni,DA,1
pratinind,prati,nind,
pratiniryA,prati-nis,yA,1
pratinirvap,prati-nis,vap,1
pratinivft,prati-ni,vft,1
pratinizpU,prati-nis,pU,1
pratinistF,prati-nis,tF,
pratinI,prati,nI,2
pratinu,prati,nu,3
pratinud,prati,nud,
pratinft,prati,nft,1
pratinyAgam,prati-ni-A,gam,1
pratipat,prati,pat,1
pratipad,prati,pad,1
pratiparAhf,prati-parA,hf,1
pratiparI,prati-pari,i,5
pratipare,prati-parA,i,5
pratiparyAvft,prati-pari-A,vft,1
pratiparyAhf,prati-pari-A,hf,1
pratipaS,prati,paS,3
pratipAl,prati,pAl,
pratipiz,prati,piz,
pratipIq,prati,pIq,
pratipIy,prati,pIy,
pratipUj,prati,pUj,
pratipF,prati,pF,
pratipragrah,prati-pra,grah,
pratipraC,prati,praC,
pratiprajYA,prati-pra,jYA,1
pratipradA,prati-pra,dA,1
pratiprabrU,prati-pra,brU,
pratipramuc,prati-pra,muc,1
pratiprayam,prati-pra,yam,
pratiprayA,prati-pra,yA,1
