prefixed_root,prefixes,unprefixed_root,hom
aBiBuj,aBi,Buj,3
aBimantr,aBi,mantr,
aBimand,aBi,mand,1
aBimuc,aBi,muc,1
aBimf,aBi,mf,
aBimfkz,aBi,mfkz,
aBimfS,aBi,mfS,1
aBiyaj,aBi,yaj,1
aBiyuj,aBi,yuj,1
aBirakz,aBi,rakz,1
aBiraYj,aBi,raYj,
aBiraB,aBi,raB,
aBiruc,aBi,ruc,1
aBilaB,aBi,laB,
aBivad,aBi,vad,
aBivand,aBi,vand,
aBivaS,aBi,vaS,
aBivicar,aBi-vi,car,
aBivij,aBi,vij,1
aBivitan,aBi-vi,tan,1
aBivid,aBi,vid,3
aBiviBaj,aBi-vi,Baj,
aBiviruc,aBi-vi,ruc,1
aBivivas,aBi-vi,vas,2
aBivizaYj,aBi-vi,saYj,1
aBivizWA,aBi-vi,sTA,1
aBivizyand,aBi-vi,syand,
aBivisfj,aBi-vi,sfj,1
aBivI,aBi-vi,i,5
aBivIkz,aBi-vi,Ikz,
aBivft,aBi,vft,1
aBivfD,aBi,vfD,
aBivfz,aBi,vfz,
aBivyaD,aBi,vyaD,
aBivye,aBi,vye,
aBiSaNk,aBi,SaNk,
aBiSap,aBi,Sap,3
aBiSI,aBi,SI,3
aBiSuB,aBi,SuB,1
aBiScut,aBi,Scut,1
aBizac,aBi,sac,1
aBizaYj,aBi,saYj,1
aBizad,aBi,sad,2
aBizah,aBi,sah,1
aBizic,aBi,sic,1
aBiziv,aBi,siv,
aBizu,aBi,su,1
aBizU,aBi,sU,1
aBizUd,aBi,sUd,1
aBizo,aBi,so,1
aBizwan,aBi,stan,
aBizwamB,aBi,stamB,
aBizwu,aBi,stu,1
aBizwuB,aBi,stuB,1
aBizWA,aBi,sTA,1
aBizyand,aBi,syand,
aBizvaYj,aBi,svaYj,
aBisaMgam,aBi-sam,gam,1
aBisaMci,aBi-sam,ci,1
aBisaMnah,aBi-sam,nah,1
aBisaMnu,aBi-sam,nu,4
aBisaMraB,aBi-sam,raB,
aBisaMvas,aBi-sam,vas,4
aBisaMvas,aBi-sam,vas,5
aBisaMvid,aBi-sam,vid,3
aBisaMviS,aBi-sam,viS,
aBisaMvIkz,aBi-sam-vi,Ikz,
aBisaMvft,aBi-sam,vft,1
aBisaMSri,aBi-sam,Sri,1
aBisaMskf,aBisaMs,kf,1
aBisaMsvaYj,aBi-sam,svaYj,
aBisatkf,aBi-sat,kf,1
aBisap,aBi,sap,1
aBisamApad,aBi-sam-A,pad,1
aBisamf,aBi-sam,f,4
aBisame,aBi-sam-A,i,5
aBisamprekz,aBi-sam-prA,Ikz,
aBihary,aBi,hary,
aBI,aBi,i,5
aBIkz,aBi,Ikz,
aByaj,aBi,aj,
aByaYj,aBi,aYj,
aByativad,aBi-ati,vad,
aByatI,aBi-ati,i,5
aByanuvad,aBi-anu,vad,
aByapaSri,aBi-apa,Sri,1
aByapAn,aBi-apa-A,an,2
aByarc,aBi,arc,1
aByarT,aBi,arT,
aByavanij,aBi-ava,nij,
aByavavft,aBi-ava,vft,1
aByavAs,aBi-ava-A,as,1
aByave,aBi-ava-A,i,5
aByavekz,aBi-ava,Ikz,
aByas,aBi,as,2
aByAj,aBi-A,aj,
aByAtan,aBi-A,tan,1
aByAdA,aBi-A,dA,1
aByAp,aBi,Ap,1
